tumor size,Stage Classification
0.5,1
0.91,4
0.4,2
0.87,1
0.25,3
0.19,3
0.66,2
0.4,4
0.73,2
0.37,1
0.25,4
0.67,1
0.97,2
0.5,4
0.14,4
0.11,3
0.7,2
0.63,2
0.4,4
0.29,4
0.95,3
0.91,1
0.51,1
0.53,2
0.45,2
0.79,4
0.6,4
0.95,1
0.59,3
0.14,2
0.5,3
0.9,3
0.39,3
0.27,1
0.21,3
0.27,2
0.18,2
0.67,1
0.74,2
0.78,1
0.92,3
0.64,2
0.51,3
0.11,3
0.41,2
0.75,1
0.56,4
0.51,1
0.94,4
0.49,2
0.73,1
0.29,3
0.89,1
0.5,2
0.21,3
0.35,3
0.86,1
0.89,1
0.66,3
0.75,2
0.31,4
0.68,1
0.84,3
0.32,2
0.3,3
0.18,4
0.93,1
0.95,4
0.86,3
0,3
0.23,1
0.45,1
0.74,2
0.08,1
0.46,3
0.55,1
0.95,3
0.09,2
0.12,2
0.77,2
0.9,2
0.39,3
0.68,1
0.82,1
0.46,2
0.59,3
0.59,3
0.4,3
0.35,4
0.84,2
0.51,1
0.11,1
0.87,1
0.86,3
0.81,2
0.51,2
0.01,4
0.69,1
0.13,4
0.44,1
0.19,4
0.33,3
0.31,1
0.94,3
0.16,3
0.28,4
0.1,2
0.11,2
0.5,2
0.47,3
0.28,2
0.93,3
0.29,2
0.6,3
0.33,2
0.74,2
0.38,2
0.89,1
0.75,1
0.1,3
0.03,1
0.53,2
0.99,4
0.24,2
0.7,3
0.15,2
0.71,3
0.61,1
0.75,3
0.4,1
0.35,3
0.57,4
0.54,4
0.1,4
0.32,2
0.33,2
0.73,3
0.96,3
0.08,4
0.36,4
0.11,2
0.96,3
0.95,2
0.18,2
0.94,3
0.94,3
0.6,1
0.7,1
0.99,2
0.54,4
0.6,4
0.25,2
0.79,4
0.74,3
0.47,4
0.57,1
0.08,4
0.1,3
0.92,2
0.09,4
0.55,2
0.99,2
0.82,2
0.95,1
0.09,1
0.85,3
0.06,2
0.53,3
0.1,2
0.01,4
0.45,4
0.42,2
0.42,3
0.19,4
0.88,1
0.77,2
0.23,1
0.43,2
0.07,4
0.75,2
0.74,2
0.01,1
0.2,2
0.52,3
0.9,3
0.34,4
0.74,1
0.99,4
0.69,3
0.79,3
0.39,4
0.73,1
0.85,2
0.02,3
0.49,4
0.81,1
0.49,4
0.28,1
0.29,3
0.89,1
0.6,1
0.88,3
0.76,2
0.27,3
0.35,2
0.89,1
0.15,2
0.06,2
0.87,2
0.15,2
0.09,3
0.27,1
0.94,3
0.27,1
0.45,2
0.1,1
0.78,3
0.73,3
0.17,3
0.26,2
0.43,1
0.6,1
0.36,1
0.84,3
0.33,1
0.93,3
0.24,4
0.97,3
0.74,4
0.52,1
0.49,1
0.94,1
0.21,3
0.09,4
0.36,3
0.4,1
0.06,2
0.81,1
0.12,4
0.95,2
0.82,3
0.43,3
0.2,3
0.13,1
0.82,2
0.25,4
0.95,3
0.68,1
0.01,2
0.54,2
0.22,3
0.78,4
0.52,4
0.15,2
0.29,1
0.81,1
0.05,2
0.27,4
0.39,2
0.19,3
0.32,3
0.68,1
0.94,4
0.53,2
0.71,2
0.12,4
0.93,4
0.62,1
0.15,1
0.79,1
0.41,1
0.51,2
0.54,4
0.23,1
0.69,3
0.09,4
0.71,2
0.46,1
0.19,4
0.59,4
0.65,3
0.6,2
0.02,2
0.55,1
0.79,4
0.59,2
0.07,1
0.85,3
0.77,2
0.29,1
0.43,1
0.64,1
0.58,2
0.67,2
0.92,3
0.09,3
0.1,1
0.47,2
0.32,2
0.16,3
1.72,3
1.4,3
1.25,1
1.76,2
1.12,3
1.89,2
1.79,4
1.61,3
1.37,2
1.6,2
1.16,2
1.23,1
1.25,1
1.78,3
1,4
1.81,2
1.09,2
1.89,4
1.74,1
1.3,4
1.78,3
1.29,3
1.54,2
1.44,1
1.04,1
1.93,2
1.94,1
1.64,2
1.41,3
1.73,4
1.01,3
1.38,2
1.83,4
1.34,3
1.47,2
1.32,3
1.12,2
1.47,4
1.64,3
1.79,3
1.42,4
1.15,2
1.3,4
1.25,4
1.01,4
1.92,1
1.28,1
1.29,3
1.73,2
1.93,1
1.01,2
1.47,4
1.87,4
1.03,2
1.72,2
1.59,4
1.81,3
1.44,2
1.74,1
1.48,3
1.84,4
1.38,1
1.67,1
1.03,1
1.91,1
1.92,1
1.19,3
1.45,2
1.2,4
1.96,3
1.62,1
1.88,4
1.81,3
1.3,2
1.1,2
1.14,3
1.16,3
1.3,1
1.34,3
1.43,2
1.11,3
1.09,2
1.92,2
1.66,3
1.14,3
1.46,3
1.82,3
1.04,2
1.4,2
1.51,1
1.77,2
1.58,3
1.89,3
1.96,4
1.74,3
1.95,1
1.57,4
1.33,3
1.89,2
1.92,4
1.58,1
1.95,3
1.04,3
1.27,2
1.6,3
1.38,2
1.07,2
1.11,2
1.52,1
1.93,1
1.92,3
1.53,2
1.68,1
1.71,2
1.84,3
1.86,4
1.27,1
1.83,3
1.45,3
1.83,1
1.33,2
1.86,2
1.43,4
1.48,1
1.3,3
1.41,4
1.69,4
1.31,2
1.11,2
1.7,2
1.75,3
1.4,3
1.36,1
1.29,4
1.87,1
1.52,4
1.91,3
1.91,1
1.81,4
1.55,1
1.28,2
1.85,3
1.12,1
1.98,4
1.87,4
1.89,1
1.52,3
1.96,2
1.97,3
1,1
1.7,2
1.94,1
1.72,1
1.77,3
1.7,4
1.96,1
1.59,3
1.59,4
1.91,1
1.11,3
1.68,3
1.82,4
1.61,4
1.61,4
1.36,4
1.81,4
1.87,4
1.99,1
1.54,2
1.43,2
1.54,2
1.18,2
1.48,1
1.95,3
1.1,4
1.93,3
1.38,1
1.36,1
1.16,1
1.06,2
1.01,3
1.29,3
1.4,1
1.11,3
1.06,3
1.05,3
1.7,4
1.32,3
1.72,4
1.19,3
1.6,4
1.13,2
1.63,3
1.14,4
1.09,4
